Bak Chang | Glutinous Rice (1.50) | Pork (1.50) | Mushrooms (0.70) | Salt (0.20)
Deep Fried Squid | Squid (3.00) | Flour (0.50) | Chilli (0.50) | Oil (0.70)
Egg Fried Rice | Rice (0.80) | Egg (0.80) | Spring Onion (0.40) | Soy Sauce (0.50)
Fish Head Curry | Fish Head (3.00) | Curry (1.00) | Vegetables (0.80) | Tamarind (0.30)
Fish Soup | Fish (3.00) | Vegetables (0.80) | Noodles (1.00) | Herbs (0.50)
Fried Bee Hoon | Rice Vermicelli (1.00) | Seafood (2.00) | Egg (0.80) | Garlic (0.20)
Fried Carrot Cake | Rice Cake (1.20) | Egg (0.80) | Chilli Sauce (0.50) | Bean Sprouts (0.40)
Fried Clams | Clams (2.50) | Garlic (0.30) | Butter (0.80) | Parsley (0.40)
Fried Fish Ball Noodles | Fish Balls (1.50) | Noodles (1.00) | Broth (1.00) | Vegetables (0.70)
Fried Fish Cake | Fish Cake (1.50) | Batter (0.70) | Chilli (0.30) | Vegetables (0.70)
Fried Oyster Cake | Oysters (2.00) | Batter (0.70) | Egg (0.80) | Chilli (0.30)
Fried Rice Noodles | Rice Noodles (1.00) | Chicken (2.00) | Soy Sauce (0.50) | Vegetables (0.70)
Fried Spring Rolls | Spring Rolls (1.00) | Vegetables (0.80) | Pork (1.50) | Dipping Sauce (0.50)
Garlic Butter Crab | Crab (4.00) | Garlic (0.30) | Butter (0.80) | Herbs (0.50)
Garlic Prawns | Prawns (2.50) | Garlic (0.30) | Butter (0.80) | Parsley (0.40)
Hainanese Curry Rice | Rice (0.80) | Curry Chicken (2.00) | Vegetables (0.70) | Soup (0.60)
Hainanese Pork Chop | Pork Chop (3.00) | Rice (0.80) | Garlic (0.30) | Vegetables (0.70)
Hokkien Mee | Yellow Noodles (1.20) | Prawns (2.50) | Pork Lard (1.00) | Fried Shallots (0.60)
Hokkien Prawn Mee | Noodles (1.00) | Prawns (2.50) | Pork Lard (1.00) | Fried Shallots (0.60)
Honey Chicken | Chicken (2.00) | Honey (0.80) | Sesame Seeds (0.50) | Soy Sauce (0.50)
Honey Glazed Chicken | Chicken (2.00) | Honey (0.80) | Sesame (0.50) | Glaze (0.70)
Kaya Toast | Toast (0.50) | Kaya (0.70) | Butter (0.50)
Kung Pao Chicken | Chicken (2.00) | Peanuts (0.70) | Chilli (0.50) | Sichuan Pepper (0.40)
Kway Chap | Braised Pork (2.00) | Rice Noodles (1.00) | Soy Sauce (0.50) | Hard-Boiled Egg (0.80)
Laksa | Rice Noodles (1.20) | Prawns (3.00) | Laksa Broth (2.00)
Lamb Satay | Lamb (3.50) | Peanut Sauce (0.70) | Onions (0.50) | Rice Cakes (0.50)
Lemon Fish | Fish (3.00) | Lemon (0.50) | Herbs (0.50) | Olive Oil (0.70)
Lor Mee | Noodles (1.00) | Thick Gravy (1.50) | Egg (0.80) | Minced Meat (1.00)
Mee Rebus | Yellow Noodles (1.00) | Prawn Gravy (1.50) | Tofu (0.70) | Boiled Egg (0.80)
Mee Siam | Vermicelli (1.00) | Shrimp Paste (0.70) | Lime (0.30) | Bean Sprouts (0.40)
Mixed Seafood Noodles | Noodles (1.00) | Mixed Seafood (3.00) | Garlic (0.30) | Bean Sprouts (0.40)
Mutton Satay | Mutton (3.50) | Peanut Sauce (0.70) | Cucumber (0.40) | Rice Cakes (0.50)
Nasi Goreng | Rice (0.80) | Egg (0.80) | Chili Paste (0.50) | Prawns (2.50)
Nasi Lemak | Rice (0.80) | Coconut Milk (0.60) | Sambal (0.70) | Anchovies (0.50) | Egg (0.80) | Peanuts (0.30)
Oyster Bee Hoon | Rice Vermicelli (1.00) | Oysters (2.00) | Garlic (0.30) | Bean Sprouts (0.40)
Oyster Omelette | Oysters (2.00) | Egg (0.80) | Batter (0.50) | Chilli (0.30)
Pan-fried Dumplings | Dumplings (1.50) | Pork (1.50) | Cabbage (0.50) | Soy Sauce (0.50)
Penang Laksa | Rice Noodles (1.20) | Mackerel (3.00) | Tamarind (0.50) | Herbs (0.70)
Popiah | Soft Wrapper (0.50) | Vegetables (0.80) | Peanut Sauce (0.70) | Tofu (0.50)
Popiah Spring Roll | Popiah Skin (0.50) | Vegetables (0.80) | Sauce (0.70) | Tofu (0.50)
Pork Siu Mai | Pork (1.50) | Shrimp (2.00) | Mushrooms (0.70) | Soy Sauce (0.50)
Prawn Mee | Yellow Noodles (1.00) | Prawns (2.50) | Broth (1.00) | Vegetables (0.70)
Prawn Sambal | Prawns (2.50) | Sambal (0.80) | Lime (0.30) | Garlic (0.30)
Roasted Duck | Duck (3.50) | Spices (0.70) | Honey (0.80) | Soy Sauce (0.50)
Roasted Pork Belly | Pork Belly (3.00) | Rice (0.80) | Soy Sauce (0.50) | Garlic (0.30)
Rojak | Mixed Fruits (1.00) | Peanut Sauce (0.80) | Cucumber (0.30) | Tofu (0.50)
Roti Prata | Flatbread (0.80) | Curry (0.70) | Dipping Sauce (0.40)
Salted Egg Squid | Squid (3.00) | Salted Egg (1.00) | Chilli (0.50) | Oil (0.70)
Salted Egg Yolk Chicken | Chicken (2.50) | Salted Egg Yolk (0.80) | Spices (0.50)
Salted Fish Fried Rice | Rice (0.80) | Salted Fish (1.50) | Egg (0.80) | Vegetables (0.70)
Sambal Egg | Eggs (1.00) | Sambal (0.80) | Tomatoes (0.70) | Spring Onion (0.40)
Sambal Kang Kong | Water Spinach (1.00) | Sambal (0.80) | Tempeh (0.70)
Sambal Mackerel | Mackerel (3.00) | Sambal (0.80) | Vegetables (0.70)
Sambal Prawns | Prawns (2.50) | Sambal (0.80) | Lime (0.30) | Garlic (0.30)
Sambal Sotong | Squid (3.00) | Sambal (0.80) | Lime (0.30) | Garlic (0.30)
Sambal Stingray | Stingray (4.50) | Sambal (1.00) | Lime (0.30) | Banana Leaf (0.20)
Satay | Chicken (1.80) | Peanut Sauce (0.70) | Cucumber (0.40) | Rice Cakes (0.50)
Seafood Soup | Mixed Seafood (3.00) | Broth (1.50) | Ginger (0.30) | Vegetables (0.80)
Singapore Fried Hokkien Mee | Noodles (1.00) | Prawns (2.50) | Pork (1.50) | Bean Sprouts (0.40)
Sliced Fish Soup | Fish (3.00) | Vegetables (0.80) | Noodles (1.00) | Herbs (0.50)
Spicy Beef Noodles | Beef (3.00) | Noodles (1.00) | Chilli (0.50) | Broth (1.00)
Spicy Cuttlefish | Cuttlefish (3.00) | Chilli (0.50) | Garlic (0.30) | Lime (0.30)
Spicy Fried Tofu | Tofu (1.00) | Chilli (0.50) | Garlic (0.30) | Soy Sauce (0.50)
Spicy Noodle Soup | Noodles (1.00) | Beef (3.00) | Chilli (0.50) | Broth (1.00)
Steamboat | Seafood (3.00) | Broth (1.50) | Vegetables (1.00) | Tofu (0.70)
Steamed Dumplings | Dumplings (1.50) | Pork (1.50) | Ginger (0.30) | Soy Sauce (0.50)
Steamed Fish | Fish (3.00) | Ginger (0.50) | Soy Sauce (0.50) | Spring Onion (0.30)
Stir-fried Kangkong | Water Spinach (1.00) | Garlic (0.30) | Chilli (0.50) | Oyster Sauce (0.50)
Stir-fried Vegetables | Mixed Vegetables (1.00) | Garlic (0.30) | Oyster Sauce (0.50) | Bean Sprouts (0.40)
Sweet and Sour Pork | Pork (2.50) | Pineapple (0.80) | Bell Pepper (0.70) | Vinegar (0.30)
Teochew Porridge | Rice Porridge (1.00) | Fish (2.50) | Pickles (0.50) | Ginger (0.30)
Teriyaki Chicken Rice | Chicken (2.00) | Teriyaki Sauce (0.80) | Rice (0.80) | Vegetables (0.70)
Vegetable Bee Hoon | Rice Vermicelli (1.00) | Vegetables (1.00) | Bean Sprouts (0.40) | Fried Shallots (0.60)
Wanton Noodle | Egg Noodles (1.00) | Pork (1.50) | Wanton (0.80) | Broth (0.70)
Yong Tau Foo | Tofu (0.80) | Fish Balls (1.00) | Vegetables (0.70) | Rice Noodles (1.00)
